Date,City,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,HCHO,Temp,Wind_U,Wind_V,Fire_Count,AOD,Latitude,Longitude,PM2.5_SubIndex,NO2_column_number_density,SO2_column_number_density,CO_column_number_density,O3_column_number_density,Distance_To_Coast,Elevation
2024-03-03,Ahmedabad,51.14,91.3,0.66,66.89,64.73,0.82,5.84,0.86,22.59,0.0002082812732304,292.05171379562495,1.5090302459953366,-1.1089207710221756,0.0,0.4436348036802171,23.0225,72.5714,85.0,0.0001177585218102,0.0007711141827537,0.0407770238816873,0.1157875955105212,206.36,53.0
2024-03-04,Ahmedabad,52.82,93.5,15.93,42.83,59.73,0.82,7.82,1.08,42.16,8.461256332513956e-05,292.99363421654516,-0.2922384868296542,-1.73166211353716,5.0,0.4436348036802171,23.0225,72.5714,88.0,0.0001923790924714,0.0006527497542319,0.0407770238816873,0.1195058568062166,206.36,53.0
2024-03-05,Ahmedabad,56.44,104.48,20.52,37.51,58.99,0.82,8.84,1.06,34.89,0.0002703239717594,294.6442778387735,-0.7799855313559836,-2.1283595848453136,2.0,0.4436348036802171,23.0225,72.5714,94.0,0.0002609051642537,0.0002584639878599,0.045102946460262,0.1168434612246823,206.36,53.0
2024-03-06,Ahmedabad,78.13,155.0,18.34,45.83,65.08,0.82,8.55,0.98,33.84,0.000388065079758,295.9723858500636,0.203087193097255,-1.704291744749675,3.0,0.4436348036802171,23.0225,72.5714,159.0,0.000205644973903,0.0014930899487813,0.043196648359313,0.1194893643260399,206.36,53.0
2024-03-07,Ahmedabad,72.3,126.17,14.88,52.83,68.76,0.82,6.39,0.94,32.95,0.0002437740200419,296.7887035044589,0.425517814103947,-1.442723739978879,3.0,0.4436348036802171,23.0225,72.5714,140.0,0.0002046159268513,6.4207072992698e-05,0.043196648359313,0.1179488165314386,206.36,53.0
2024-03-08,Ahmedabad,63.25,112.58,16.96,59.83,77.92,0.82,7.53,0.79,29.53,0.0003257232281558,297.38623738843336,0.4417488039001938,-2.185100389081378,1.0,0.4436348036802171,23.0225,72.5714,109.0,0.000146562961163,0.000628038949799,0.0382367372512944,0.1206064447760982,206.36,53.0
2024-03-09,Ahmedabad,57.76,105.2,18.37,57.37,76.74,0.82,6.89,0.77,41.92,0.0002916066169885,297.73546935976015,0.591398135636204,-1.681241275728211,2.0,0.4436348036802171,23.0225,72.5714,96.0,0.0001823948623496,0.0012872364022773,0.0416987426579137,0.1197081394493977,206.36,53.0
2024-03-10,Ahmedabad,76.35,139.48,20.4,58.89,80.07,0.82,8.59,1.06,41.57,0.0002888880315259,299.07298323165537,0.3891973421555157,-0.950464511102484,3.0,0.4436348036802171,23.0225,72.5714,153.0,0.0001595569931505,0.0007241021303716,0.0416987426579137,0.1197457210574616,206.36,53.0
2024-03-11,Ahmedabad,66.72,120.35,35.22,42.23,77.85,3.52,7.74,0.78,31.11,0.0002136184119415,300.06265010390166,1.57490650258323,-1.629644748776458,2.0,0.4436348036802171,23.0225,72.5714,121.0,0.0001513762399554,0.000682193785906,0.0424504033533657,0.1224426925182749,206.36,53.0
2024-03-12,Ahmedabad,53.54,95.34,29.83,50.14,79.11,3.52,5.0,0.72,23.44,0.0003628746930312,299.842770199443,1.748000714205956,-2.036742606828379,4.0,0.4436348036802171,23.0225,72.5714,89.0,0.0001126705107838,0.0003955643031816,0.0424504033533657,0.121190897185177,206.36,53.0
2024-03-13,Ahmedabad,49.58,88.85,44.54,51.82,97.1,0.09,6.99,0.58,25.82,0.0002141673209094,299.0495397286822,2.478483557701111,-0.7870029774747153,3.0,0.4436348036802171,23.0225,72.5714,82.0,0.0001161696719417,-5.529650328621588e-05,0.0424504033533657,0.1201979896109417,206.36,53.0
2024-03-14,Ahmedabad,98.38,166.4,43.76,53.54,96.8,0.09,7.54,0.33,45.79,0.000173116198159,299.11657209174575,0.8875562645668206,-1.944437684014786,6.0,0.4436348036802171,23.0225,72.5714,226.0,0.0001489321584813,0.0003697750507855,0.0392030999064575,0.1253792941570698,206.36,53.0
2024-03-15,Ahmedabad,154.86,262.08,29.72,59.9,91.3,18.25,6.19,2.01,19.47,0.0003714412101277,299.5059848460116,-0.0252854167953018,-1.1892163467037586,5.0,0.4436348036802171,23.0225,72.5714,327.0,0.0001576065180438,-0.0006642468742855,0.0392030999064575,0.1248126686749517,206.36,53.0
2024-03-16,Ahmedabad,91.16,165.95,38.4,39.85,78.35,35.78,6.26,0.88,32.27,8.56397461563348e-05,299.65941891928975,-1.6044012206469398,-1.2593716466149616,2.0,0.4436348036802171,23.0225,72.5714,202.0,0.0001333378022537,0.0002041888074018,0.0392030999064575,0.1261891275644721,206.36,53.0
2024-03-17,Ahmedabad,69.85,139.48,31.62,21.66,54.28,61.0,5.99,0.53,42.66,0.0003270768332568,301.20101131764494,-1.6710952936216843,-1.9397265504496968,4.0,0.4436348036802171,23.0225,72.5714,131.0,0.0001358298884306,0.000800920483452,0.0424562655389449,0.1257321995816688,206.36,53.0
2024-03-18,Ahmedabad,55.14,109.21,27.2,24.42,52.61,60.38,7.24,0.43,37.09,0.0003245499399821,300.83256551461625,-0.6112180606339329,-2.199916869170906,2.0,0.4436348036802171,23.0225,72.5714,92.0,0.0002188162043701,0.0001294139214775,0.0424562655389449,0.1231285907269249,206.36,53.0
2024-03-19,Ahmedabad,71.96,128.41,35.03,22.07,58.11,59.56,7.99,0.75,28.81,0.0002669403139064,301.04818681228994,-0.1736713527709014,-1.1411083363747412,5.0,0.4436348036802171,23.0225,72.5714,138.0,0.0002108892513206,-0.0001030367347994,0.0445864535868315,0.1250932514667926,206.36,53.0
2024-03-20,Ahmedabad,65.54,114.76,37.47,24.98,63.45,59.03,10.66,0.65,29.5,0.000179480528176,301.72283500848806,0.7550968005675677,-1.672336647676867,0.0,0.4436348036802171,23.0225,72.5714,116.0,0.0001581349497428,0.0006103002233432,0.0411979608850632,0.1259809732437552,206.36,53.0
2024-03-21,Ahmedabad,71.67,131.16,34.85,44.25,90.99,48.59,11.6,1.33,35.74,0.0004343445428965,301.43815358479816,-0.4518258081850154,-0.712787386058837,4.0,0.4436348036802171,23.0225,72.5714,137.0,0.0002589264470688,0.0001760445240409,0.0411979608850632,0.1230112064671226,206.36,53.0
2024-03-22,Ahmedabad,69.32,124.41,45.38,83.39,141.46,32.17,7.65,1.16,23.65,0.000180419124263,301.6872560515884,1.541990043580994,-0.2344836393992105,5.0,0.4436348036802171,23.0225,72.5714,129.0,0.0001535031624371,0.0006295499624686,0.0361187979579091,0.1274260580540126,206.36,53.0
2024-03-23,Ahmedabad,58.61,101.75,59.32,132.2,200.22,15.51,14.47,1.68,15.4,0.000180419124263,302.5222350719363,1.9697770259177037,-0.0366072044816128,0.0,0.4436348036802171,23.0225,72.5714,98.0,0.0001535031624371,0.0006295499624686,0.0361187979579091,0.1274260580540126,206.36,53.0
